% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=441820, Wed Jul 29 08:40:20 2026, <python>{}</python>
16 128 0.11096097516479207 1 0 0.18784643949766588 0.18609041045280167 0.14692390599997648 1.0 1.0
16 128 0.11096097516479207 1 0 0.18784643949766588 0.18609041045280167 0.14692390599997648 1.0 1.0
3 24 0.36699648336595475 1 0 0.030289501238980134 0.030341835740838652 0.034166413332595694 1.0 1.0
4 32 0.4697916858178599 1 0 0.022522664206919424 0.024250410171845642 0.02629950295565442 1.0 1.0
5 40 0.5556104258097474 1 0 0.01930215133967618 0.022784795665117392 0.020644978906732517 1.0 1.0
6 48 0.5693529464292336 1 0 0.01882283871882488 0.022498240701554144 0.020476872064823855 1.0 1.0
7 56 0.5663482698092764 1 0 0.01882283871882488 0.021726527767406644 0.020476872064823855 1.0 1.0
8 64 0.5808665981592772 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
9 72 0.5264703691566129 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
10 80 0.5602981017253075 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
11 88 0.4873557492344823 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
12 96 0.4328706039772474 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
13 104 0.3518988220477591 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
14 112 0.32562409538309844 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
15 120 0.31071177808393546 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
16 128 0.29075253811095236 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
16 128 0.29075253811095236 1 0 0.01882283871882488 0.021726527767406644 0.01985203084544332 1.0 1.0
5 40 0.24788832521556148 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
6 48 0.21127958843822214 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
7 56 0.18939713322738558 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
8 64 0.16700993267984574 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
9 72 0.1698414470297896 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
10 80 0.17776989636855026 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
11 88 0.17044747358671533 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
12 96 0.14700892438410165 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
13 104 0.13198154490638436 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
14 112 0.13532482588739447 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
15 120 0.12827778751699495 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
16 128 0.11855987435535191 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
16 128 0.11855987435535191 1 0 0.9175900912960554 1.0 1.0 1.0 1.0
