% # columns="iteration, evaluation, min 25%tile 75%tile max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=2567, Fri Aug 28 18:25:19 2026
1 9 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
1 9 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
2 18 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
2 18 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
3 27 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
3 27 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
4 36 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
4 36 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
5 45 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
5 45 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
6 54 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
6 54 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
7 63 -0.12216878372525437 -0.043019698001552927 0.04010624244624798 0.07521165524871326 0.8824087078723043 0.9616394464759914 0.9913575932652472 0.9966679963963995 1.0257519584266377 1.0398050947716662 1.0895438307648784
7 63 -0.11991355854461128 -0.03599482888979738 0.04950198318489954 0.0765448127929072 0.8713445083905066 0.9600143424510976 0.9911688166949343 1.0031458689901758 1.0300056076117396 1.0404611369415426 1.0894691473961464
8 72 -0.16043359773395127 -0.06851395774046862 0.08750700385005324 0.13820213242836643 0.8006325339519914 0.9183549233793964 0.9548026083690695 1.0011643425121384 1.0287725314077854 1.0801625866365754 1.1732474520184122
8 72 -0.1588014110076626 -0.018510598192666594 0.11791913890441262 0.1985061981563985 0.7714264913666969 0.8612174876031493 0.9570981247289269 1.0073151207093074 1.0541700858801037 1.1334984031960573 1.1560241496969152
9 81 -0.16043359773395127 -0.06851395774046862 0.08750700385005324 0.13820213242836643 0.8006325339519914 0.9183549233793964 0.9548026083690695 1.0011643425121384 1.0287725314077854 1.0801625866365754 1.1732474520184122
